78 | 0
709 | 1
370 | 1
711 | 0
915 | 0
459 | 0
663 | 0
763 | 0
398 | 0
964 | 1
467 | 1
981 | 1
876 | 0
593 | 1
198 | 0
533 | 0
703 | 0
116 | 0
540 | 1
682 | 1
263 | 0
10 | 0
858 | 0
671 | 0
25 | 0
938 | 0
317 | 1
787 | 1
956 | 1
916 | 0
674 | 0
491 | 0
930 | 0
174 | 1
143 | 0
621 | 0
586 | 1
815 | 1
320 | 1
396 | 0
244 | 0
525 | 0
932 | 0
110 | 1
196 | 1
52 | 0
476 | 0
918 | 1
512 | 1
636 | 1
227 | 0
716 | 0
432 | 0
179 | 0
844 | 0
379 | 1
117 | 1
105 | 1
601 | 1
617 | 1
990 | 1
828 | 1
819 | 1
535 | 0
644 | 1
301 | 0
241 | 0
789 | 1
678 | 1
368 | 0
348 | 0
355 | 0
285 | 1
774 | 1
332 | 0
640 | 1
850 | 1
142 | 1
615 | 0
288 | 0
322 | 0
235 | 0
732 | 1
943 | 1
870 | 0
589 | 1
523 | 1
658 | 0
718 | 0
284 | 1
724 | 1
222 | 1
232 | 1
974 | 0
53 | 0
683 | 0
730 | 1
923 | 1
48 | 1
972 | 0
