78 | 0
709 | 0
370 | 1
711 | 1
915 | 1
459 | 0
663 | 1
763 | 1
398 | 0
964 | 0
467 | 0
981 | 0
876 | 0
593 | 1
198 | 1
533 | 0
703 | 0
116 | 1
540 | 1
682 | 0
263 | 1
10 | 1
858 | 0
671 | 0
25 | 0
938 | 0
317 | 0
787 | 1
956 | 1
916 | 0
674 | 1
491 | 0
930 | 1
174 | 0
143 | 0
621 | 0
586 | 0
815 | 0
320 | 1
396 | 1
244 | 1
525 | 0
932 | 1
110 | 0
196 | 1
52 | 1
476 | 0
918 | 1
512 | 1
636 | 0
227 | 0
716 | 1
432 | 0
179 | 1
844 | 1
379 | 1
117 | 1
105 | 0
601 | 0
617 | 1
990 | 0
828 | 1
819 | 0
535 | 1
644 | 1
301 | 1
241 | 1
789 | 0
678 | 1
368 | 1
348 | 0
355 | 1
285 | 0
774 | 0
332 | 1
640 | 1
850 | 0
142 | 1
615 | 1
288 | 1
322 | 0
235 | 0
732 | 1
943 | 0
870 | 1
589 | 1
523 | 0
658 | 1
718 | 0
284 | 1
724 | 1
222 | 1
232 | 1
974 | 0
53 | 0
683 | 1
730 | 0
923 | 1
48 | 1
972 | 0
